time,NINO1+2_sst,NINO3_sst,NINO3.4_sst,NINO4_sst,EPAC_mslp,INDO_mslp
1981-09-01,20.1287,24.54618,26.345293,28.26938,101260.77,100994.875
1981-12-01,21.445541333333335,24.776000999999997,26.241972333333333,28.249178,101187.72866666666,101002.48133333334
1982-03-01,24.827682333333332,26.28699366666667,26.690961333333334,28.012729333333336,101067.77466666668,101008.335
1982-06-01,23.677942,27.391082,28.141909666666667,29.069699333333332,101074.50333333334,101025.84999999999
1982-09-01,21.954059333333333,26.156843666666663,27.745650333333334,28.791409666666667,101142.854,101107.81133333333
1982-12-01,24.390167666666667,27.50154466666667,28.636714333333334,28.916705333333336,100997.48333333334,101061.088
1983-03-01,27.645469666666667,28.42849533333333,28.585044,28.598895,100893.16333333333,101186.99666666666
1983-06-01,27.789098666666664,28.495800666666668,28.39433766666667,28.752246333333332,100952.22166666666,101018.60800000001
1983-09-01,23.883185,25.718993,26.489875333333334,28.214060333333332,101177.26833333333,101034.47333333333
1983-12-01,22.352587,24.205876333333332,25.448048,27.524874,101245.18333333333,101031.15366666667
1984-03-01,24.971918,25.954519,26.212558,27.24297233333333,101082.38333333335,100928.98666666665
1984-06-01,23.489367333333334,26.247380333333336,26.977432333333336,27.796322,101116.37,100932.39333333333
1984-09-01,20.587896999999998,24.686065,26.366298666666665,28.17479933333333,101254.16200000001,100977.08
1984-12-01,21.51356366666667,23.945988333333332,25.449453333333334,27.736746999999998,101186.75533333333,100968.63333333335
1985-03-01,24.54844266666667,25.154185333333334,25.72041,27.330028666666664,101085.32466666667,100906.56999999999
1985-06-01,22.794900666666667,25.937943333333333,26.640133333333335,27.609082,101095.886,100882.68800000001
1985-09-01,19.827248333333333,24.21588433333333,26.180674,28.029798333333332,101267.05166666668,101020.28666666667
1985-12-01,21.03527933333333,24.16059266666667,26.037523000000004,28.134391333333337,101234.00333333334,101001.14333333333
1986-03-01,25.342696,25.716398333333334,26.064515999999998,27.734503333333333,101120.65999999999,100973.77333333333
1986-06-01,23.29544033333333,26.484120333333333,27.27591166666667,28.22863166666667,101071.152,100946.12333333334
1986-09-01,20.907523666666666,25.323899,27.132999666666667,28.667799666666667,101216.59466666666,101026.89833333333
1986-12-01,21.951486666666668,25.619789,27.330555,28.841275666666665,101180.668,101082.37633333332
1987-03-01,26.452397,27.175605666666666,27.70214233333333,28.535764,100987.25666666667,101122.81333333334
1987-06-01,25.225971,27.68874466666667,28.283046666666667,28.94869733333333,101026.09666666668,101053.95333333332
1987-09-01,21.861650666666666,26.448943666666665,28.14869566666667,29.05551133333333,101137.97333333333,101105.79333333333
1987-12-01,22.735913333333333,25.948052666666666,27.543671333333332,29.181732333333333,101138.72466666666,101041.38766666666
1988-03-01,25.119829,26.470282666666666,27.09231766666667,28.38849666666667,101051.54333333333,100947.35666666667
1988-06-01,23.046675000000004,25.448291333333334,26.488039666666666,27.894016333333337,101191.03533333335,100970.77333333333
1988-09-01,19.554910666666668,23.697823999999997,25.524850333333333,27.74574133333333,101340.205,100969.732
1988-12-01,20.545742666666666,23.300549666666665,24.533749333333333,26.719172333333333,101286.56866666667,100951.77
1989-03-01,25.412423666666665,25.113870000000002,25.103036333333336,26.565338666666666,101149.32866666668,100917.09666666668
1989-06-01,23.552344666666666,26.299021999999997,26.775729,27.72183366666667,101132.34833333333,100936.898
1989-09-01,20.481931333333332,24.75721233333333,26.334886,27.929681,101275.47666666667,100986.08
1989-12-01,21.301686666666665,24.505291,26.220419000000003,28.079565666666667,101263.91666666667,101026.97366666667
1990-03-01,25.14052433333333,26.016566666666666,26.69541166666667,28.266503666666665,101074.14333333333,101071.98666666668
1990-06-01,23.845025333333336,26.972753,27.665398666666665,28.64355433333333,101061.19666666666,100920.02066666668
1990-09-01,20.527371666666667,25.213105666666667,26.947023,28.758173,101267.776,101027.31333333334
1990-12-01,21.059420333333335,24.893752333333335,26.780423,28.85819533333333,101213.02999999998,101007.42333333334
1991-03-01,25.206023,26.238758666666666,26.920385333333332,28.445100333333333,101086.42700000001,101025.76000000001
1991-06-01,24.174100999999997,27.31841833333333,28.011191333333333,28.976660999999996,101077.708,100966.78533333335
1991-09-01,21.363078,25.605,27.395994666666667,28.963490333333336,101245.74166666665,101067.67
1991-12-01,22.173569333333333,25.792830666666664,27.71758966666667,29.221606666666663,101122.415,101039.23866666667
1992-03-01,26.108362999999997,27.331704333333334,28.308019333333334,28.818068666666665,100991.22166666668,101162.202
1992-06-01,25.62898966666667,27.920056333333335,28.552592666666666,29.063940333333335,100978.68833333334,100952.59166666667
1992-09-01,20.858131333333333,25.036018333333335,26.88399366666667,28.795661,101255.27,101032.06666666667
1992-12-01,21.651526,24.813860000000002,26.487416666666665,28.388912,101161.219,101030.20966666665
1993-03-01,25.706592,26.52197133333333,27.017938666666666,28.217433333333332,101112.84733333334,101073.63333333335
1993-06-01,24.941083000000003,27.599666666666668,28.14867166666667,28.686806999999998,101039.43533333333,101020.71500000001
1993-09-01,21.386158,25.386516666666665,27.051935,28.766330999999997,101251.76666666666,101096.01133333333
1993-12-01,21.824548000000004,25.162321000000002,26.786873666666665,28.693839333333333,101194.30666666666,100996.21666666667
1994-03-01,25.098528666666667,26.197686666666666,26.802356666666668,28.11163833333333,101099.81,100977.65133333334
1994-06-01,23.272142333333335,26.719015,27.871360999999997,28.781912666666667,101108.05366666667,100971.83666666667
1994-09-01,20.445021,24.901976333333334,27.154757,29.211740000000002,101253.84666666668,101079.43699999999
