time,NINO1+2_sst,NINO3_sst,NINO3.4_sst,NINO4_sst,EPAC_mslp,INDO_mslp
1988-10-01,19.45993,23.381618,24.619856,26.83756,101264.336,100925.34
1988-11-01,20.503859,23.236687,24.46862,26.72689,101315.21,100935.79
1988-12-01,21.673439,23.283344,24.512772,26.593067,101280.16,100994.18
1989-01-01,23.983187,24.117514,24.448359,26.277208,101138.016,100839.34
1989-02-01,25.773994,25.367147,25.163872,26.543972,101149.31,100978.38
1989-03-01,26.48009,25.856949,25.696878,26.874836,101160.66,100933.57
1989-04-01,25.4705,26.44268,26.411278,27.34491,100995.42,100890.42
1989-05-01,23.21547,26.241577,26.925062,28.064243,101158.625,100889.734
1989-06-01,21.971064,26.212809,26.990847,27.756348,101243.0,101030.54
1989-07-01,21.166275,25.266333,26.681242,27.937843,101280.22,100973.17
1989-08-01,20.432959,24.472801,26.128008,27.750597,101305.64,100974.234
1989-09-01,19.84656,24.532503,26.195408,28.100603,101240.57,101010.836
1989-10-01,20.3507,24.43534,26.142572,28.094843,101288.21,101007.766
1989-11-01,21.265793,24.399933,26.128708,27.85359,101194.18,101014.945
1989-12-01,22.288567,24.6806,26.389977,28.290264,101309.36,101058.21
1990-01-01,23.870285,25.214674,26.39617,28.179993,101025.78,100975.86
1990-02-01,25.592943,26.221556,26.686693,28.267973,101170.07,101127.27
1990-03-01,25.958345,26.61347,27.003372,28.351545,101026.58,101112.83
1990-04-01,24.846766,27.326775,27.709036,28.664469,101001.95,100926.734
1990-05-01,23.926334,27.19985,27.89364,28.634045,101054.52,100874.664
1990-06-01,22.761976,26.391634,27.39352,28.632149,101127.12,100958.664
1990-07-01,21.012407,25.643154,27.238018,28.677658,101268.86,101012.69
1990-08-01,20.493073,25.073263,26.943356,28.842594,101280.484,101023.42
1990-09-01,20.076635,24.9229,26.659695,28.754267,101253.984,101045.83
1990-10-01,20.205217,24.824364,26.888048,28.952492,101302.27,101018.13
1990-11-01,20.84326,24.75196,26.652573,28.790144,101173.4,100989.88
1990-12-01,22.129784,25.104933,26.800648,28.83195,101163.42,101014.26
1991-01-01,23.686773,25.568436,26.842781,28.615171,101189.375,100992.19
1991-02-01,25.662022,26.228815,26.818352,28.37586,101052.766,101063.49
1991-03-01,26.269274,26.919025,27.100023,28.34427,101017.14,101021.6
1991-04-01,24.978634,27.339771,27.857542,28.712027,101017.234,100948.766
1991-05-01,24.509377,27.411213,28.10468,29.177555,101085.31,100956.38
1991-06-01,23.034292,27.204271,28.071352,29.040401,101130.58,100995.21
1991-07-01,22.11502,26.368938,27.729414,28.956484,101210.48,101022.46
1991-08-01,21.111528,25.447168,27.46011,29.08564,101285.445,101055.36
1991-09-01,20.862686,24.998894,26.99846,28.848347,101241.3,101125.19
1991-10-01,21.233921,25.2654,27.353075,29.317064,101169.125,101002.79
1991-11-01,22.06395,25.877922,27.667767,29.112936,101125.93,101081.16
1991-12-01,23.222837,26.23517,28.131927,29.23482,101072.19,101033.766
1992-01-01,24.640743,26.822294,28.238914,28.82869,101018.31,101228.49
1992-02-01,26.27901,27.313385,28.290546,28.78259,101018.66,101132.016
1992-03-01,27.405336,27.859434,28.394598,28.842926,100936.695,101126.1
1992-04-01,27.199186,28.46186,28.811857,29.037912,100928.04,101019.49
1992-05-01,26.074076,28.264309,28.77772,29.136599,100975.445,100935.84
1992-06-01,23.613707,27.034,28.068201,29.01731,101032.58,100902.445
1992-07-01,21.445038,25.540878,27.386274,29.12512,101225.86,101057.88
1992-08-01,20.708809,24.856022,26.742172,28.633106,101322.27,101028.945
1992-09-01,20.420547,24.711155,26.523535,28.628757,101217.68,101009.375
1992-10-01,21.084505,24.552912,26.171059,28.40155,101199.266,101001.84
1992-11-01,21.467827,24.874538,26.566402,28.313934,101154.516,101017.484
1992-12-01,22.402246,25.01413,26.724789,28.451252,101129.875,101071.305
1993-01-01,24.214548,25.580671,26.647171,28.292192,101172.44,101036.93
1993-02-01,26.115019,26.636919,26.998009,28.084326,101103.336,101096.1
1993-03-01,26.790209,27.348324,27.408636,28.275782,101062.766,101087.87
1993-04-01,26.164303,28.010351,28.108578,28.5006,100956.336,101042.875
1993-05-01,25.1088,28.033087,28.515543,28.790691,101069.79,100991.39
1993-06-01,23.550146,26.755562,27.821894,28.76913,101092.18,101027.88
1993-07-01,22.096615,25.950323,27.457317,28.813768,101192.23,101006.984
1993-08-01,21.087313,25.14831,26.777044,28.662813,101270.625,101158.51
1993-09-01,20.974546,25.060917,26.921444,28.822412,101292.445,101122.54
1993-10-01,21.288023,25.20079,26.883028,28.646864,101251.51,101117.22
1993-11-01,21.733833,25.13053,26.819115,28.727068,101218.77,100930.52
1993-12-01,22.451788,25.155643,26.658478,28.707586,101112.64,100940.91
1994-01-01,24.27401,25.680304,26.505472,28.275156,101122.32,100949.19
1994-02-01,25.72023,26.122656,26.58136,27.828796,101071.1,100933.664
1994-03-01,25.301346,26.7901,27.320238,28.230963,101106.01,101050.1
1994-04-01,24.225863,26.923801,27.846418,28.348986,101066.445,100958.29
1994-05-01,23.27056,26.881182,27.96317,28.967882,101099.2,101002.57
1994-06-01,22.320004,26.352062,27.804495,29.02887,101158.516,100954.65
